Fecha,Tipo de entidad,Entidad,Participación en Activos Totales (%),Activos Totales (DOP MM),Cartera/Activos (%),Var. C. Comercial (%),Var. C. Consumo (%),Var. C. Hipotecaria (%),Ratio Inversiones/ Patrimonio Neto,Morosidad Estresada (%),ROA (%),ROE (%),Var. Utilidades Brutas (%)
2023-02-01,BANCOS MÚLTIPLES,BANRESERVAS,33.68,1012914.662377,42.76,10.76,22.15,8.68,4.97,8.65,3.04,40.99,64.18
2023-02-01,BANCOS MÚLTIPLES,POPULAR,21.36,642327.650119,65.45,8.41,19.63,12.18,0.93,9.07,4.44,29.68,33.93
2023-02-01,BANCOS MÚLTIPLES,BHD,15.57,468310.262044,56.99,13.44,23.4,17.41,2.08,4.51,2.84,25.14,21.49
2023-02-01,BANCOS MÚLTIPLES,SCOTIABANK,5.04,151682.087669,66.36,32.81,18.17,23.14,0.94,6.99,1.17,7.39,-3039.91
2023-02-01,ASOCIACIONES DE AHORROS Y PRÉSTAMOS,APAP,4.28,128604.209437,61.54,-8.16,42.15,22.17,1.4,13.52,3.28,15.81,67.25
2023-02-01,BANCOS MÚLTIPLES,SANTA CRUZ,4.1,123153.25270299999,46.15,23.76,58.86,14.98,2.68,3.25,4.24,41.66,130.18
2023-02-01,ASOCIACIONES DE AHORROS Y PRÉSTAMOS,CIBAO,2.49,74877.131665,62.97,10.33,24.46,16.93,1.07,3.23,2.07,9.89,-11.11
2023-02-01,BANCOS MÚLTIPLES,PROMERICA,1.6,48001.095837,57.11,15.92,37.39,87.78,4.03,2.56,1.13,18.91,0.63
2023-02-01,BANCOS MÚLTIPLES,BANESCO,1.49,44893.680393999995,48.92,4.89,19.27,30.94,5.28,10.47,0.15,2.45,-75.15
2023-02-01,BANCOS MÚLTIPLES,CARIBE,1.25,37487.617533,45.29,9.5,14.63,10.91,5.37,9.23,0.21,3.43,-77.21
2023-02-01,ASOCIACIONES DE AHORROS Y PRÉSTAMOS,LA NACIONAL,1.23,36993.567324999996,75.25,-15.41,10.39,14.76,0.72,4.56,1.77,10.71,-17.64
2023-02-01,BANCOS MÚLTIPLES,CITIBANK,0.78,23587.155166999997,17.93,16.98,,,2.95,0.0,5.78,35.13,-58.22
2023-02-01,BANCOS MÚLTIPLES,BDI,0.77,23237.496901,59.5,-2.18,13.66,30.61,1.02,5.36,0.97,6.93,-54.14
