loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,annual_inc,verification_status,issue_d,loan_status,purpose,zip_code,addr_state,dti,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,last_pymnt_d,pub_rec_bankruptcies
5000,5000,4975.0, 36 months,10.65%,162.87,B,B2,,10+ years,24000.0,Verified,11-Dec,Fully Paid,credit_card,860xx,AZ,27.65,1,3,0,13648,83.70%,9,15-Jan,0
2500,2500,2500.0, 60 months,15.27%,59.83,C,C4,Ryder,< 1 year,30000.0,Source Verified,11-Dec,Charged Off,car,309xx,GA,1.0,5,3,0,1687,9.40%,4,13-Apr,0
2400,2400,2400.0, 36 months,15.96%,84.33,C,C5,,10+ years,12252.0,Not Verified,11-Dec,Fully Paid,small_business,606xx,IL,8.72,2,2,0,2956,98.50%,10,14-Jun,0
10000,10000,10000.0, 36 months,13.49%,339.31,C,C1,AIR RESOURCES BOARD,10+ years,49200.0,Source Verified,11-Dec,Fully Paid,other,917xx,CA,20.0,1,10,0,5598,21%,37,15-Jan,0
3000,3000,3000.0, 60 months,12.69%,67.79,B,B5,University Medical Group,1 year,80000.0,Source Verified,11-Dec,Current,other,972xx,OR,17.94,0,15,0,27783,53.90%,38,16-May,0
5000,5000,5000.0, 36 months,7.90%,156.46,A,A4,Veolia Transportaton,3 years,36000.0,Source Verified,11-Dec,Fully Paid,wedding,852xx,AZ,11.2,3,9,0,7963,28.30%,12,15-Jan,0
7000,7000,7000.0, 60 months,15.96%,170.08,C,C5,Southern Star Photography,8 years,47004.0,Not Verified,11-Dec,Fully Paid,debt_consolidation,280xx,NC,23.51,1,7,0,17726,85.60%,11,16-May,0
3000,3000,3000.0, 36 months,18.64%,109.43,E,E1,MKC Accounting ,9 years,48000.0,Source Verified,11-Dec,Fully Paid,car,900xx,CA,5.35,2,4,0,8221,87.50%,4,15-Jan,0
5600,5600,5600.0, 60 months,21.28%,152.39,F,F2,,4 years,40000.0,Source Verified,11-Dec,Charged Off,small_business,958xx,CA,5.55,2,11,0,5210,32.60%,13,12-Apr,0
5375,5375,5350.0, 60 months,12.69%,121.45,B,B5,Starbucks,< 1 year,15000.0,Verified,11-Dec,Charged Off,other,774xx,TX,18.08,0,2,0,9279,36.50%,3,12-Nov,0
6500,6500,6500.0, 60 months,14.65%,153.45,C,C3,Southwest Rural metro,5 years,72000.0,Not Verified,11-Dec,Fully Paid,debt_consolidation,853xx,AZ,16.12,2,14,0,4032,20.60%,23,13-Jun,0
12000,12000,12000.0, 36 months,12.69%,402.54,B,B5,UCLA,10+ years,75000.0,Source Verified,11-Dec,Fully Paid,debt_consolidation,913xx,CA,10.78,0,12,0,23336,67.10%,34,13-Sep,0
9000,9000,9000.0, 36 months,13.49%,305.38,C,C1,Va. Dept of Conservation/Recreation,< 1 year,30000.0,Source Verified,11-Dec,Charged Off,debt_consolidation,245xx,VA,10.08,1,4,0,10452,91.70%,9,12-Jul,0
3000,3000,3000.0, 36 months,9.91%,96.68,B,B1,Target,3 years,15000.0,Source Verified,11-Dec,Fully Paid,credit_card,606xx,IL,12.56,2,11,0,7323,43.10%,11,15-Jan,0
10000,10000,10000.0, 36 months,10.65%,325.74,B,B2,SFMTA,3 years,100000.0,Source Verified,11-Dec,Charged Off,other,951xx,CA,7.06,2,14,0,11997,55.50%,29,13-Oct,0
1000,1000,1000.0, 36 months,16.29%,35.31,D,D1,Internal revenue Service,< 1 year,28000.0,Not Verified,11-Dec,Fully Paid,debt_consolidation,641xx,MO,20.31,1,11,0,6524,81.50%,23,15-Jan,0
10000,10000,10000.0, 36 months,15.27%,347.98,C,C4,Chin's Restaurant,4 years,42000.0,Not Verified,11-Dec,Fully Paid,home_improvement,921xx,CA,18.6,2,14,0,24043,70.20%,28,15-Jan,0
